ISO3,Year,actual_funding,pred_funding,funding_gap,funding_ratio_gap,flag_overlooked,flag_overfunded,Latitude,Longitude,Continent
MMR,2024,27894424.96,41969590.49915742,-14075165.53915742,-0.3353658058550748,False,False,21.916221,95.955974,Asia
MMR,2025,35848382.97,29416022.316344168,6432360.653655831,0.21866860802868904,False,False,21.916221,95.955974,Asia
MOZ,2025,2287877.25,16038699.432758937,-13750822.182758937,-0.8573526949867877,True,False,-18.665695,35.529562,Africa
NER,2021,12482617.94,53651161.07656442,-41168543.13656442,-0.7673374128439396,True,False,17.607789,8.081666,Africa
NER,2022,8999635.84,15173033.510767624,-6173397.670767624,-0.4068664098307462,True,False,17.607789,8.081666,Africa
NER,2023,10993493.0,11816612.38869231,-823119.3886923101,-0.06965781406860572,False,False,17.607789,8.081666,Africa
NER,2024,8777317.27,12386207.483213017,-3608890.213213017,-0.29136361699932245,False,False,17.607789,8.081666,Africa
NER,2025,4998011.6,10656703.182885135,-5658691.582885135,-0.5309983290116498,True,False,17.607789,8.081666,Africa
NGA,2020,23358102.5,28870458.50245455,-5512356.002454549,-0.19093413435002748,False,False,9.081999,8.675277,Africa
NGA,2021,31434295.69,27853930.042545274,3580365.6474547274,0.12854077115817852,False,False,9.081999,8.675277,Africa
NGA,2022,24710819.97,31859187.62589715,-7148367.655897152,-0.22437382082167434,False,False,9.081999,8.675277,Africa
NGA,2023,23973602.54,31068385.688988253,-7094783.148988254,-0.22836021221092606,False,False,9.081999,8.675277,Africa
NGA,2024,18999922.94,36827056.56713043,-17827133.62713043,-0.4840770696575798,True,False,9.081999,8.675277,Africa
NGA,2025,19498025.21,22427113.42041421,-2929088.2104142085,-0.1306047798263692,False,False,9.081999,8.675277,Africa
PAK,2020,9681444.56,7900477.5479807835,1780967.012019217,0.22542523552571803,False,False,30.375321,69.345116,Asia
PAK,2021,1537348.88,8888736.990046628,-7351388.110046628,-0.8270452954428191,True,False,30.375321,69.345116,Asia
PAK,2025,1632784.64,15295304.176072666,-13662519.536072666,-0.8932492861074146,True,False,30.375321,69.345116,Asia
PSE,2020,36189901.76,18504001.530153755,17685900.229846243,0.9557878711275314,False,True,31.9,35.2,MENA
PSE,2021,27779288.3,26346583.726308197,1432704.573691804,0.05437914033086533,False,False,31.9,35.2,MENA
PSE,2022,21390715.94,26854337.74249053,-5463621.802490529,-0.20345397659334796,False,False,31.9,35.2,MENA
PSE,2023,87674576.38,26521081.64759984,61153494.73240016,2.3058446689686414,False,True,31.9,35.2,MENA
PSE,2024,49481106.72,65183800.81542292,-15702694.095422924,-0.24089871868452872,False,False,31.9,35.2,MENA
PSE,2025,65928182.11,53412239.009872474,12515943.100127526,0.23432725031081625,False,False,31.9,35.2,MENA
SDN,2020,75791589.6,55002086.5872583,20789503.012741692,0.37797662420970335,False,True,12.862807,30.217636,Africa
SDN,2021,56864162.64,70488425.50005877,-13624262.86005877,-0.19328368825669695,False,False,12.862807,30.217636,Africa
SDN,2022,65576233.53,63943884.28107598,1632349.2489240244,0.025527840031562166,False,False,12.862807,30.217636,Africa
SDN,2023,81211049.33,54481493.87105974,26729555.45894026,0.4906171538210857,False,True,12.862807,30.217636,Africa
SDN,2024,180666178.75,84197220.96273376,96468957.78726624,1.1457499034316587,False,True,12.862807,30.217636,Africa
SDN,2025,135176453.04,211059410.47501734,-75882957.43501735,-0.35953363682876127,True,False,12.862807,30.217636,Africa
SOM,2020,36556082.52,51071702.27819696,-14515619.758196957,-0.28422040211480926,False,False,5.152149,46.199616,Africa
SOM,2021,46268713.13,49975865.71890631,-3707152.5889063105,-0.07417885684577274,False,False,5.152149,46.199616,Africa
SOM,2022,71029813.32000001,56491016.93416431,14538796.3858357,0.2573647488551938,False,False,5.152149,46.199616,Africa
SOM,2023,56628902.28,45509619.25073798,11119283.029262021,0.24432819285961638,False,False,5.152149,46.199616,Africa
SOM,2024,33337080.75,57190393.55523273,-23853312.805232733,-0.41708600557532327,True,False,5.152149,46.199616,Africa
SOM,2025,56363515.23,38488933.70377689,17874581.52622311,0.46440833263377956,False,True,5.152149,46.199616,Africa
SSD,2020,62382675.09,75481387.01567808,-13098711.925678074,-0.17353565486226918,False,False,6.8769919,31.3069788,Africa
SSD,2021,69151386.84,60665575.92325897,8485810.916741036,0.13987851903813553,False,False,6.8769919,31.3069788,Africa
SSD,2022,49484152.5,61576273.55145947,-12092121.051459469,-0.19637630460625466,False,False,6.8769919,31.3069788,Africa
SSD,2023,55600285.75,72830217.03992146,-17229931.289921463,-0.2365766846538021,False,False,6.8769919,31.3069788,Africa
SSD,2024,38917034.64,66170023.31186018,-27252988.67186018,-0.41186306589944044,True,False,6.8769919,31.3069788,Africa
SSD,2025,44425815.09,41855593.38175663,2570221.70824337,0.06140688736152611,False,False,6.8769919,31.3069788,Africa
SYR,2020,68737943.05,57434602.710012466,11303340.339987531,0.19680366550210393,False,False,34.802075,38.996815,MENA
SYR,2021,67657796.25999999,65644440.653521836,2013355.6064781547,0.030670618660685323,False,False,34.802075,38.996815,MENA
SYR,2022,46030213.83,75062737.77889954,-29032523.948899537,-0.3867767791046479,True,False,34.802075,38.996815,MENA
SYR,2023,62485132.45999999,70265330.03618534,-7780197.576185346,-0.11072598068177708,False,False,34.802075,38.996815,MENA
SYR,2024,35029130.76,65296165.94934574,-30267035.18934574,-0.46353464631944463,True,False,34.802075,38.996815,MENA
SYR,2025,49657611.71,38251521.0151686,11406090.694831401,0.29818659211769205,False,False,34.802075,38.996815,MENA
TCD,2025,10616291.93,20366285.71005382,-9749993.78005382,-0.4787320534956816,True,False,15.454166,18.732207,Africa
UKR,2020,10725140.42,6858766.524769302,3866373.8952306975,0.5637127144170786,False,True,48.379433,31.16558,Europe
UKR,2021,14792256.46,10423152.382558454,4369104.077441547,0.4191730022821665,False,True,48.379433,31.16558,Europe
UKR,2022,192664497.06,12427714.806105576,180236782.25389442,14.50280965293365,False,True,48.379433,31.16558,Europe
UKR,2023,183672269.28,29114212.826815214,154558056.45318478,5.308680587470027,False,True,48.379433,31.16558,Europe
UKR,2024,164338871.75,146894804.49028152,17444067.259718478,0.11875210508805001,False,False,48.379433,31.16558,Europe
UKR,2025,201206937.33,96237159.62196013,104969777.70803988,1.090740604984429,False,True,48.379433,31.16558,Europe
VEN,2021,11456037.35,30938113.66150303,-19482076.31150303,-0.6297111881046906,True,False,6.42375,-66.58973,Americas
VEN,2022,9392778.19,16224663.653824985,-6831885.463824986,-0.42108025223773193,True,False,6.42375,-66.58973,Americas
VEN,2023,12163013.0,13193627.721099332,-1030614.721099332,-0.0781145825003966,False,False,6.42375,-66.58973,Americas
VEN,2024,12613729.78,15316703.291906968,-2702973.5119069684,-0.176472277381985,False,False,6.42375,-66.58973,Americas
VEN,2025,8965515.94,7735958.755230236,1229557.1847697636,0.15894050416678684,False,False,6.42375,-66.58973,Americas
YEM,2020,99093834.22,177644436.95289525,-78550602.73289526,-0.4421787931007599,True,False,15.552727,48.516388,MENA
YEM,2021,113004284.5,100646791.1428447,12357493.357155293,0.1227807982434006,False,False,15.552727,48.516388,MENA
YEM,2022,78568691.27000001,112503625.81628196,-33934934.54628195,-0.3016341411226833,False,False,15.552727,48.516388,MENA
YEM,2023,85897174.57,118621668.37164338,-32724493.801643386,-0.2758728169217539,False,False,15.552727,48.516388,MENA
YEM,2024,37084897.52,111381833.62341687,-74296936.10341686,-0.6670471627771506,True,False,15.552727,48.516388,MENA
YEM,2025,22622083.55,55440980.713345945,-32818897.163345944,-0.5919609779818643,True,False,15.552727,48.516388,MENA
